                wariant                                 ;            segment
                                                        ;
-1   0  rozwiniecie wewnetrzne                          ; -1  0   wewnatrz obiektu
-2   1  rozwiniecie podstawowe                          ; -2  1   w zadymieniu
-3   2  dzwig ratowniczy                                ; -3  2   w pionie drogami ogolnymi
-4   3  wew. hydrant                                    ; -4  3   w pionie dzwigiem ratowniczym
-5   4  wciaganie linii po elewacji                     ; -5  4   punkt hydrantu wewnetrznego
-6   5                                                  ; -6  5
-7   6                                                  ; -7  6
-8   7                                                  ; -8  7
-9   8  dzialanie zewn/wewn (wejscie z drabiny i wewn)  ; -9  8   na zewnatrz
-10  9  gaszenie z poziomu terenu                       ; -10 9   pozioma
-11  10  gaszenie z drabiny przystawnej                 ; -11 10  pionowa, drabina przystawna
-12  11  gaszenie z drabiny mechanicznej                ; -12 11  pionowa, drabina mech.
-13  12                                                 ; -13 12
-14  13                                                 ; -14 13
-15  14                                                 ; -15 14
-16  15  stanowiska z wysoka wydajnoscia                ; -16 15



Nazwa                   ; Opis                                                                                                                                                                            ; Liczba rot ; Czas wykonania ; W zadymienu ; Kierunek
Linia glowna            ; budowa linii glownej 20 m z odcinka wezowego W75 zakonczonej rozdzielaczem przed wejsciem do budynku                                                                            ; 1          ; 30             ; 0           ; 2
Linia glowna            ; budowa podwojnej linii glownej 20 m z odcinkow wezowych W75 z harmonijki zakonczonej rozdzielaczem przed wejsciem do budynku                                                    ; 1          ; 15             ; 0           ; 2
Przygotowania           ; przygotowanie roty gasniczej do wejscia w strefe zagrozenia, przy pojezdzie pozarniczym                                                                                         ; 1          ; 50             ; 0           ; 0
Przejscie zewnetrzne    ; poruszanie sie roty gasniczej na zewnatrz budynku w drogach poziomych, kazde 20 m drogi                                                                                         ; 1          ; 20             ; 0           ; 2
Przejscie wewnetrzne    ; poruszanie sie roty gasniczej wewnatrz budynku w drogach poziomych bez zadymienia, kazde 20 m drogi                                                                             ; 1          ; 25             ; 0           ; 2
Przejscie wewnetrzne    ; poruszanie sie roty gasniczej wewnatrz budynku w drogach poziomych z zadymieniem, kazde 20 m drogi                                                                              ; 1          ; 55             ; 1           ; 2
Przejscie wewnetrzne    ; poruszanie sie roty gasniczej wewnatrz budynku w drogach pionowych bez zadymienia, do 12 m wysokosci                                                                            ; 1          ; 100            ; 0           ; 1
Przejscie wewnetrzne    ; poruszanie sie roty gasniczej wewnatrz budynku w drogach pionowych z zadymieniem, do 12 m wysokosci                                                                             ; 1          ; 140            ; 1           ; 1
Przejscie wewnetrzne    ; poruszanie sie roty gasniczej wewnatrz budynku w drogach pionowych bez zadymienia, do 25 m wysokosci                                                                            ; 1          ; 330            ; 0           ; 1
Przejscie wewnetrzne    ; poruszanie sie roty gasniczej wewnatrz budynku w drogach pionowych z zadymieniem, do 25 m wysokosci                                                                             ; 1          ; 500            ; 1           ; 1
Przejscie wewnetrzne    ; poruszanie sie roty gasniczej wewnatrz budynku w drogach pionowych bez zadymienia, do 55 m wysokosci                                                                            ; 1          ; 1060           ; 0           ; 1
Przejscie wewnetrzne    ; poruszanie sie roty gasniczej wewnatrz budynku w drogach pionowych z zadymieniem, do 55 m wysokosci                                                                             ; 1          ; 1520           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach poziomych wewnatrz budynku z zadymieniem, kazde 20 m linii budowanej z podwojnych kregow                               ; 1          ; 80             ; 1           ; 2
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 12 m wysokosci, linia budowana z podwojnych kregow                        ; 1          ; 620            ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 25 m wysokosci, linia budowana z podwojnych kregow                        ; 1          ; 1120           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 55 m wysokosci, linia budowana z podwojnych kregow                        ; 1          ; 2120           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 12 m wysokosci, linia budowana z podwojnych kregow                        ; 2          ; 500            ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 25 m wysokosci, linia budowana z podwojnych kregow                        ; 2          ; 1060           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 55 m wysokosci, linia budowana z podwojnych kregow                        ; 2          ; 1520           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach poziomych wewnatrz budynku bez zadymienia, kazde 20 m linii budowanej z podwojnych kregow                              ; 1          ; 25             ; 0           ; 2
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 12 m wysokosci, linia budowana z podwojnych kregow                       ; 1          ; 230            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 25 m wysokosci, linia budowana z podwojnych kregow                       ; 1          ; 760            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 55 m wysokosci, linia budowana z podwojnych kregow                       ; 1          ; 1700           ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 12 m wysokosci, linia budowana z podwojnych kregow                       ; 2          ; 170            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 25 m wysokosci, linia budowana z podwojnych kregow                       ; 2          ; 700            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 55 m wysokosci, linia budowana z podwojnych kregow                       ; 2          ; 1520           ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach poziomych wewnatrz budynku z zadymieniem, kazde 20 m linii budowanej z podwojnych kregow                               ; 1          ; 75             ; 1           ; 2
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 12 m wysokosci, linia budowana z podwojnych kregow                        ; 1          ; 620            ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 25 m wysokosci, linia budowana z podwojnych kregow                        ; 1          ; 1120           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 55 m wysokosci, linia budowana z podwojnych kregow                        ; 1          ; 2120           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 12 m wysokosci, linia budowana z podwojnych kregow                        ; 2          ; 500            ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 25 m wysokosci, linia budowana z podwojnych kregow                        ; 2          ; 1060           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 55 m wysokosci, linia budowana z podwojnych kregow                        ; 2          ; 1520           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach poziomych wewnatrz budynku bez zadymienia, kazde 20 m linii budowanej z podwojnych kregow                              ; 1          ; 20             ; 0           ; 2
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 12 m wysokosci, linia budowana z podwojnych kregow                       ; 1          ; 230            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 25 m wysokosci, linia budowana z podwojnych kregow                       ; 1          ; 760            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 55 m wysokosci, linia budowana z podwojnych kregow                       ; 1          ; 1700           ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 12 m wysokosci, linia budowana z podwojnych kregow                       ; 2          ; 170            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 25 m wysokosci, linia budowana z podwojnych kregow                       ; 2          ; 700            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 55 m wysokosci, linia budowana z podwojnych kregow                       ; 2          ; 1520           ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach poziomych wewnatrz budynku z zadymieniem, kazde 20 m linii budowanej z tzw. kasetonow (noszakow)                       ; 1          ; 50             ; 1           ; 2
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 12 m wysokosci, linia budowana z tzw. kasetonow (noszakow)                ; 1          ; 560            ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 25 m wysokosci, linia budowana z tzw. kasetonow (noszakow)                ; 1          ; 1000           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 55 m wysokosci, linia budowana z tzw. kasetonow (noszakow)                ; 1          ; 1940           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 12 m wysokosci, linia budowana z tzw. kasetonow (noszakow)                ; 2          ; 320            ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 25 m wysokosci, linia budowana z tzw. kasetonow (noszakow)                ; 2          ; 880            ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 55 m wysokosci, linia budowana z tzw. kasetonow (noszakow)                ; 2          ; 1510           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach poziomych wewnatrz budynku bez zadymienia, kazde 20 m linii budowanej z tzw. kasetonow (noszakow)                      ; 1          ; 20             ; 0           ; 2
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 12 m wysokosci, linia budowana z tzw. kasetonow (noszakow)               ; 1          ; 500            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 25 m wysokosci, linia budowana z tzw. kasetonow (noszakow)               ; 1          ; 940            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 55 m wysokosci, linia budowana z tzw. kasetonow (noszakow)               ; 1          ; 1880           ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 12 m wysokosci, linia budowana z tzw. kasetonow (noszakow)               ; 2          ; 320            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 25 m wysokosci, linia budowana z tzw. kasetonow (noszakow)               ; 2          ; 700            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 55 m wysokosci, linia budowana z tzw. kasetonow (noszakow)               ; 2          ; 1510           ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach poziomych wewnatrz budynku z zadymieniem, kazde 20 m linii budowanej z tzw. kasetonow (noszakow)                       ; 1          ; 50             ; 1           ; 2
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 12 m wysokosci, linia budowana z tzw. kasetonow (noszakow)                ; 1          ; 500            ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 25 m wysokosci, linia budowana z tzw. kasetonow (noszakow)                ; 1          ; 940            ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 55 m wysokosci, linia budowana z tzw. kasetonow (noszakow)                ; 1          ; 1940           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 12 m wysokosci, linia budowana z tzw. kasetonow (noszakow)                ; 2          ; 320            ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 25 m wysokosci, linia budowana z tzw. kasetonow (noszakow)                ; 2          ; 880            ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 55 m wysokosci, linia budowana z tzw. kasetonow (noszakow)                ; 2          ; 1510           ; 1           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach poziomych wewnatrz budynku bez zadymienia, kazde 20 m linii tzw. kasetonow (noszakow)                                  ; 1          ; 15             ; 0           ; 2
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 12 m wysokosci, linia budowana z tzw. kasetonow (noszakow)               ; 1          ; 500            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 25 m wysokosci, linia budowana z tzw. kasetonow (noszakow)               ; 1          ; 940            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 55 m wysokosci, linia budowana z tzw. kasetonow (noszakow)               ; 1          ; 1880           ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 12 m wysokosci, linia budowana z tzw. kasetonow (noszakow)               ; 2          ; 320            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 25 m wysokosci, linia budowana z tzw. kasetonow (noszakow)               ; 2          ; 700            ; 0           ; 1
Budowa linii            ; budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 55 m wysokosci, linia budowana z tzw. kasetonow (noszakow)               ; 2          ; 1510           ; 0           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 12 m wysokosci, linia budowana w tzw. ""duszy klatki schodowej"""        ; 2          ; 500            ; 1           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 25 m wysokosci, linia budowana w tzw. ""duszy klatki schodowej"""        ; 2          ; 940            ; 1           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 55 m wysokosci, linia budowana w tzw. ""duszy klatki schodowej"""        ; 2          ; 1940           ; 1           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 12 m wysokosci, linia budowana w tzw. ""duszy klatki schodowej"""        ; 3          ; 320            ; 1           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 25 m wysokosci, linia budowana w tzw. ""duszy klatki schodowej"""        ; 3          ; 880            ; 1           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku z zadymieniem, do 55 m wysokosci, linia budowana w tzw. ""duszy klatki schodowej"""        ; 3          ; 1510           ; 1           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 12 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""      ; 2          ; 500            ; 0           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 25 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""      ; 2          ; 940            ; 0           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 55 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""      ; 2          ; 1880           ; 0           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 12 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""      ; 3          ; 320            ; 0           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 25 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""      ; 3          ; 700            ; 0           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W52 w drogach pionowych wewnatrz budynku bez zadymienia, do 55 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""      ; 3          ; 1510           ; 0           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 12 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""       ; 2          ; 500            ; 1           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 25 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""       ; 2          ; 940            ; 1           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 55 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""       ; 2          ; 1940           ; 1           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 12 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""       ; 3          ; 320            ; 1           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 25 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""       ; 3          ; 880            ; 1           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku z zadymieniem, do 55 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""       ; 3          ; 1510           ; 1           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 12 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""      ; 2          ; 440            ; 0           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 25 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""      ; 2          ; 940            ; 0           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 55 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""      ; 2          ; 1880           ; 0           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 12 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""      ; 3          ; 320            ; 0           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 25 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""      ; 3          ; 700            ; 0           ; 1
Budowa linii            ; "budowa linii gasniczej z odcinkow wezowych W42 w drogach pionowych wewnatrz budynku bez zadymienia, do 55 m wysokosci, linia budowana  w tzw. ""duszy klatki schodowej"""      ; 3          ; 1510           ; 0           ; 1
Budowa linii            ; budowa linii szybkiego natarcia na odleglosc do 20 m od pojazdu pozarniczego w drodze poziomej na zewnatrz budynku                                                              ; 1          ; 50             ; 2           ; 1
Budowa linii            ; budowa linii szybkiego natarcia na wysokosc do 12  m po elewacji budynku                                                                                                        ; 1          ; 190            ; 2           ; 0
Budowa linii            ; budowa linii gasniczej z odcinkow W52  po elewacji budynku, do 12 m wysokosci                                                                                                   ; 1          ; 440            ; 2           ; 0
Budowa linii            ; budowa linii gasniczej z odcinkow W52  po elewacji budynku, do 25 m wysokosci                                                                                                   ; 1          ; 880            ; 2           ; 0
Budowa linii            ; budowa linii gasniczej z odcinkow W52  po elewacji budynku, do 55 m wysokosci                                                                                                   ; 1          ; 2120           ; 2           ; 0
Budowa linii            ; budowa linii gasniczej z odcinkow W42 po elewacji budynku, do 12 m wysokosci                                                                                                    ; 1          ; 430            ; 2           ; 0
Budowa linii            ; budowa linii gasniczej z odcinkow W42 po elewacji budynku, do 25 m wysokosci                                                                                                    ; 1          ; 860            ; 2           ; 0
Budowa linii            ; budowa linii gasniczej z odcinkow W42 po elewacji budynku, do 55 m wysokosci                                                                                                    ; 1          ; 1880           ; 2           ; 0
Sprawianie drabiny      ; sprawienie drabiny przystawnej typu DW10 (max. wysuw) i budowa stanowiska gasniczego na drabinie w odleglosci do 20 m od pojazdu pozarniczego                                   ; 2          ; 260            ; 2           ; 0
Sprawianie drabiny      ; sprawienie drabiny przystawnej nasadkowej (z 4 przesel) i budowa stanowiska gasniczego na drabinie w odleglosci do 20 m od pojazdu pozarniczego                                 ; 2          ; 280            ; 2           ; 0
Sprawianie drabiny      ; sprawienie drabiny mechanicznej do kondygnacji na wys. do 12 m z dwoma ratownikami w koszu drabiny przygotowanych do podania pradu gasniczego z dzialka wodno-pianowego         ; 2          ; 160            ; 2           ; 0
Sprawianie drabiny      ; sprawienie drabiny mechanicznej do kondygnacji na wys. do 25 m z dwoma ratownikami w koszu drabiny przygotowanych do podania pradu gasniczego z dzialka wodno-pianowego         ; 2          ; 180            ; 2           ; 0
Sprawianie drabiny      ; sprawienie drabiny mechanicznej do kondygnacji na wys. do 55 m z dwoma ratownikami w koszu drabiny przygotowanych do podania pradu gasniczego z dzialka wodno-pianowego         ; 2          ; 400            ; 2           ; 0
Sprawianie podnosnika   ; sprawienie podnosnika hydraulicznego do kondygnacji na wys. do 12 m z dwoma ratownikami w koszu podnosnika przygotowanych do podania pradu gasniczego z dzialka wodno-pianowego ; 2          ; 250            ; 2           ; 0
Sprawianie podnosnika   ; sprawienie podnosnika hydraulicznego do kondygnacji na wys. do 25 m z dwoma ratownikami w koszu podnosnika przygotowanych do podania pradu gasniczego z dzialka wodno-pianowego ; 2          ; 290            ; 2           ; 0
Sprawianie podnosnika   ; sprawienie podnosnika hydraulicznego do kondygnacji na wys. do 55 m z dwoma ratownikami w koszu podnosnika przygotowanych do podania pradu gasniczego z dzialka wodno-pianowego ; 2          ; 490            ; 2           ; 0
Sprawianie drabiny      ; sprawienie drabiny przystawnej typu DW10 (max. wysuw) i budowa stanowiska gasniczego na drabinie w odleglosci do 20 m od pojazdu pozarniczego                                   ; 2          ; 260            ; 2           ; 0
Sprawianie drabiny      ; sprawienie drabiny przystawnej nasadkowej (z 4 przesel) i budowa stanowiska gasniczego na drabinie w odleglosci do 20 m od pojazdu pozarniczego                                 ; 2          ; 280            ; 2           ; 0
Sprawianie sprzetu      ; przygotowanie sprzetu do prowadzenia wentylacji taktycznej w odleglosci 20 m od pojazdu pozarniczego                                                                            ; 1          ; 120            ; 2           ; 0
Przygotowania           ; przygotowanie roty do wejscia w strefe zagrozenia i podjecia dzialan ratowniczych (rota w gotowosci przy samochodzie)                                                           ; 1          ; 25             ; 2           ; 0
Przygotowania           ; przygotowanie medycznego pola sprzetowego/strefy udzielania KPP                                                                                                                 ; 1          ; 70             ; 2           ; 0
Przygotowania           ; uruchomienie systemu monitorowania pracy w sprzecie ochrony ukladu oddechowego                                                                                                  ; 1          ; 30             ; 2           ; 0
Zabezpieczanie terenu   ; zabezpieczenie terenu dzialan ratowniczych pacholkami, wygrodzenie terenu tasma ostrzegawcza                                                                                    ; 1          ; 170            ; 2           ; 0
